,sentence_input,sentence_ouput
249,That ambulance you see racing to an emergency may soon also protect you from a dirty bomb attack.,ambulance emergency bomb attack 
250,Tactical flashlights can provide powerful and critical light during the darkness that plagues some emergencies but the light can also act as a defensive tool.,provide light darkness light act tool 
251,"Precision Guided Rifles are designed to help overcome factors that can impact precision for shooters like recoil, direction and speed of wind, inclination, and temperature.",Precision help overcome impact precision recoil direction speed wind inclination temperature 
252,"If a Jedi wanted to sculpt clay, it would probably be something like what Apple is describing here.",sculpt clay be something 
253,Pimples form when the oil and dead skin cells on your skin combine to form a plug that blocks the pores.,oil skin skin combine form plug 
254,"In the simplest of terms, it means that aircraft has a number of external cameras and sensors that can feed data seamlessly to the pilot.",simplest aircraft number feed pilot 
255,"If you don't have a double boiler, you can simply use a glass or metal bowl over a pot of simmering water on the stove.",have boiler use glass metal bowl pot water stove 
256,Its design includes a four-hook carousel that helps to maximize the cargo it can deliver to different locations in just one flight.,design carousel maximize cargo deliver flight 
257,"Walker, who leads the Sleep and Neuroimaging Laboratory at the University of California at Berkeley, said there remains some debate as to whether older adults need less sleep, or they cannot generate the sleep that they need.",debate generate sleep 
258,"In addition to providing high bandwidth communications, the drone could gather data over these vast areas and equip forces with persistent, real-time, enhanced level of detail actionable data.",addition bandwidth drone gather equip level detail 
259,"And for those men who may have sleep apnea, the aforementioned conditions can create the perfect environment for dozing off.",have apnea create environment 
260,It can provide both voice and data links.,provide voice 
261,But American warfighters could let the Hoverbike do the work for them and instead focus on returning fire.,let work focus fire 
262,"From online to the neighborhood bar, there are numerous ways to meet men.",online neighborhood bar meet 
263,The U.S. recently reached an agreement with Singapore to deploy a Poseidon to the country.,agreement deploy country 
264,"Apple, meanwhile, remains in the dark about how to restore the security of its flagship product.",dark restore security flagship product 
265,"Using products that contain waxes isn't a good idea, although Japan wax might be a safer alternative, said Dr. Leslie E. O'Dell, director of the Dry Eye Center of Pennsylvania in Mechanicsburg and Manchester.",idea be safer alternative director 
266,"This month is National Bed Month, and Dr. Ahern has teamed up with Drift Sleep, maker of mattresses with natural surfaces, to explain the truth behind the top sleep myths.",month maker explain truth sleep 
267,"To prevent the slowing of metabolism that comes with muscle loss, try to maintain that muscle through exercise, including resistance training and weight training, Christman said.",prevent slowing metabolism muscle loss try maintain muscle exercise resistance training weight training 
268,The design incorporates a threaded muzzle with a thread cap that can be easily removed to use muzzle accessories.,design muzzle cap be use muzzle 
269,They developed a number of different ways to trigger self-destruction.,number trigger self-destruction 
270,"For almost two decades, the U.S. Army Research Laboratory has been developing materials to protect ground vehicles and dismounted soldiers from lasers, notably new material that would let natural light through but block any laser light.",protect ground material let light block laser light 
271,"Tank crews can receive data and even opt to see through the eyes of a drone, other armored vehicles, or ground robots.",receive opt see drone ground 
272,Parabens are used in many cosmetics as preservatives to help prevent bacteria from growing in the product.,help prevent product 
273,"Repair vs. replace
The possibility exists that this futuristic body armor could be ironed back into shape after it sustained some hits, because of the material used to create it.",replace possibility body armor be shape material create 
274,"After we broke up, I didn't have any sort of relationship in high school, which was fine because I was so busy with academics, sports, and extracurricular activities.",have sort relationship school 
275,Try to eat a Mediterranean diet.,Try eat diet 
276,"Alternatively, the capsule could contain a futuristic weapon system that provides a decisive element in a surprise attack.",capsule contain weapon system element surprise attack 
277,"For gunshot victims, this could mean the difference between life and death.",mean difference life death 
278,"Makeup is supposed to make you look even more beautiful, but that beauty comes at a cost when you consider the toxic chemicals that are lurking in most brands of eye shadows, liners, mascaras, makeup brushes, eyelash curlers and false-lash adhesives.",Makeup make look beauty cost toxic eye makeup eyelash 
279,Henze and Debroux have made videos to help Lily learn about her mom as she grows up.,help learn mom 
280,Formaldehyde and formaldehyde-releasing preservatives Formaldehyde and preservatives that release the chemical are strongly linked to allergic reactions and cancer.,chemical allergic cancer 
281,"Oh, and you've probably heard of tongue scrapers: tools found in the pharmacy dental aisle that are specially designed to remove bacteria, food particles, and other gunk from your tongue.",heard tongue pharmacy aisle remove food gunk tongue 
282,"No one is recommending that nonsmokers take up vaping,"" Glover says.",one vaping 
283,"The military, both active duty and National Guard, could potentially use it in emergencies.",military duty use 
284,"Sensors, for example, could be widely dispersed and recovery could put service members at risk.",example be recovery put service risk 
285,"Ribrosections Removing a rib to get a tiny waistline is not something most plastic surgeons would recommend, Shah said.",rib get waistline something recommend 
286,He said Stodden's surgically enhanced figure would make her an excellent adult film star.,figure make adult film star 
287,"Even a kid with a social media account could post a picture that tips off forces are attempting a covert approach, making covert operations that much more difficult.",kid account post picture approach 
288,"Fox News spoke to Christman and Blake to get their tips:
1.",get 
289,"Now, her mother, Mariela Diaz, is speaking out to warn others of the dangers of plastic surgery clinics such as the Coral Gables Cosmetic Center in Miami, where her daughter underwent surgery.",mother warn plastic surgery daughter underwent surgery 
290,"People diagnosed with diabetes should aim to have a healthy diet, and a Mediterranean diet is a good, healthy option, lead study author Katherine Esposito told Reuters Health in an email.",aim have diet diet option lead study author email 
291,Can't make this stuff up.,Ca make stuff 
292,Check to make sure your sunglass lenses are perfectly matched in color and free of distortions and imperfections.,Check make sunglass color 
293,"To ensure the sub stays at the cutting-edge across the board throughout its service life, there are quick-access tech insert hatches in its design.",ensure sub cutting-edge board service life tech insert design 
294,"Though we often talk about the health benefits of sex, you know there's a long way to go toward a sex-positive society when some people still believe that masturbation is bad for you, that there's no such thing as truly safe sex, that your vibrator will permanently desensitize your vagina, and that watching porn will always lead to addiction.",health sex way go society masturbation thing truly sex vibrator desensitize vagina porn lead addiction 
295,It can quickly adapt to tackle a range of important tasks.,adapt tackle range 
296,"Ultimately, lasers could become an optional upgrade for not just military vehicles, but aircraft and ships as well.",become upgrade aircraft 
297,The current solution tends to be to add more armor.,solution be add armor 
298,"That said, there are a few different ways doctors can help treat hair loss that occurs with age:
1.",help treat loss age 
299,The idea is that if your phone is stolen you can trigger your phone to self-destruct in mere seconds.,idea phone trigger phone self-destruct 
300,"Thyroidectomy leads to lifetime of meds After someone has a complete thyroidectomy, they need to take medication to replace thyroid hormone to maintain the body's normal metabolism.",lifetime someone thyroidectomy take medication replace hormone maintain body metabolism 
301,This collaboration of state-of-the art detection tech could provide a far greater advance warning to protect Americans against nuclear and radiological threats.,collaboration art detection tech provide advance warning protect 
302,"The pods would enter hibernation and could be activated after weeks, months, or years.",enter hibernation be 
303,The second is the program's ability to fuse the data provided by all those sensors and provide minute-to-minute surveillance of nuclear threats.,program ability fuse provide surveillance 
304,But the Terrier is next level: its front loader system can lift five tons.,level front loader system lift 
305,"In terms of survival, you never know exactly which tool you would wish you had to hand.",survival tool wish hand 
306,"Join the expedition from kick off in Kathmandu through to the Himalayan mountains, flying around in the helo, hanging out at the base camps and breaking world records with the extreme jumps.",Join expedition helo base world 
307,Michigan Tech's octocopter certainly isn't the first to employ nets in order to catch unmanned vehicles.,octocopter employ order catch 
308,"Testing the skills of the world's best reveals how everyone stacks up, but it is also an important opportunity to sharpen skills and learn from each other.",world everyone opportunity sharpen learn 
309,"Patients whose tumors expressed estrogen, for example, may receive an estrogen-blocking drug called tamoxifen for five years after their surgery.",estrogen example receive drug tamoxifen surgery 
310,"Included in the new technology are machine-gun toting robots that charge up the beaches as advance assault, as well as speedboats that instantly transformed into small stealthy submarines diving beneath the surface to avoid detection.",technology advance assault surface avoid detection 
311,"No matter where you are, if you have a tactical pen with you and are under threat, you always have a powerful way to defend yourself.",matter pen threat way defend 
312,"If there are abnormalities, your doctor will contact you.",doctor contact 
313,"If you have a problem, you should be able to feel lumps.",problem be feel 
314,"They may be great fashion accessories but, more importantly, sunglasses are of extreme importance when it comes to maintaining good eye health.",be fashion importance eye health 
315,There's a new stealth bomber joining the U.S. Air Force and it will be one incredible aircraft.,stealth bomber be aircraft 
316,"Following a diet that mimics fasting may reduce risk factors for disease in generally healthy people, according to a small study.",reduce risk disease study 
317,The Air Force announced Tuesday that it chose Northrop Grumman to build the next generation long-range strike bomber.,build generation long-range strike bomber 
318,We've all heard it: Drink in moderation or else you'll do more harm than good.,heard Drink moderation do harm 
319,If people are reluctant to quit smoking because they're afraid of the slight weight gain.,quit smoking weight gain 
320,"All cells in the body can undergo cancer, including a man's breast cells.",body undergo cancer man breast 
321,He also vowed to show her the world.,show world 
322,It is likely that the Shortfin will include a similar vital feature.,include feature 
323,"With just a few simple ingredients, you can create a daily routine that is free of chemicals and good for you and the planet.",create routine planet 
324,"Yesterday, we let machines play this contest in a league of their own.",Yesterday play contest league 
325,"With your next partner, be mindful of your stress levels, which, if high, may be a sign of a bad relationship.",partner be stress be sign relationship 
326,"Particularly when we're in a new relationship, it's easier to blow money on dates and activities.",relationship blow money 
327,"This software is designed to identify threats and react to, defend, and seal off vulnerabilities from future attacks.",software identify react defend seal 
328,The power fuels the tech to expand seven times its original size.,power tech expand size 
329,A team of researchers at Mississippi State University are creating a new football helmet and mouthguard designed to take concussion prevention to a whole new level.,team football helmet mouthguard take concussion prevention level 
330,The tool used looks exactly like the one administered to track a fetus' growth.,tool track fetus growth 
331,The aim is to ensure that American consumers stay as safe online as possible and prevent premature disclosures that might damage a U.S. company or the economy.,aim ensure online premature damage company economy 
332,"Most people don't realize it, but men can develop breast cancer, too.",realize develop breast cancer 
333,"After their five-year anniversary, they may need to see their doctor only once a year.",anniversary need see doctor year 
334,"In August, the laser took part in ultra cool Exercise Black Dart that focuses on cutting-edge tech to tackle hostile drones.",laser part cutting-edge tech tackle 
335,"The Navy needs to operate over the vastness of these oceans, yet ever-shrinking budgets continue to limit the Navy's ability to develop and acquire weapons systems and platforms.",operate vastness limit ability develop acquire 
336,"Hu and colleagues suspected eyelash length might have something to do with channeling airflow, and they devised an experiment to find out.",length have something do airflow experiment find 
337,"Essentially, influencers are obligated to be transparent about any business or family connections, whether they're being paid to promote the product and if they were given the product for free.",be business family promote product product 
338,The Spectrum gives you the opportunity to choose a wide spectrum of colors to personalize your gun.,opportunity choose spectrum personalize gun 
339,The projectile then deploys a parachute to bring the captured drone and the canister components safely back to the ground.,projectile parachute bring drone canister ground 
340,Flaunt your features Show off your most attractive assets by choosing your attire carefully.,attire 
341,"Avocado contains healthy fats that can help you stay full and satisfied, Blake said.",help stay 
342,"But equipped with truly next-gen, cutting-edge canopies, they can take things to an entirely new level.",take level 
343,"Within the area of coverage, the tech can tell police officers where the shot was fired, how many shots, and the number of weapons involved.",area coverage tech tell police shot number 
344,"Chronic stress can trigger cortisol, a stress hormone that leads to fat storage and sugar cravings, Blake said.",stress trigger cortisol stress hormone fat storage sugar 
345,Research has proven that insecticide-treated nets dramatically reduce the risk of mosquito-borne threats to pregnant women and children.,Research reduce risk 
346,"When she tried to have the lashes removed, her natural lashes broke off.",have 
347,"The influencers get a lot out of it, too.",lot 
348,Chemo is administered as an infusion through a vein to kill cancer cells using chemicals.,infusion vein kill cancer 
349,"Try not to graze on sweetened food or drinks throughout the day, but if you do, give your mouth a quick rinse after.",Try graze food day give mouth rinse 
350,"In the future, the footage will play an important role in Lily's life, Max said.",future footage play role life 
351,"Fun for kids of all ages, it is also a great way for beginners to learn the basics of shooting on a spring repeater.",way learn spring repeater 
352,You can go inside this exclusive event and see the action here.,go event see action 
353,"It can also affect bones in the hands and feet, and more than half of all children with Pfeiffer syndrome experience hearing loss and dental problems.",affect half experience hearing loss 
354,The larger size of the Zephyr T vehicle enables it to accommodate payloads heavier payloads with higher power demands.,size vehicle accommodate power 
355,The powerful French subs are aptly named after the Barracuda fish that tends to incite fear with its large size and scary predatory look.,fish incite fear size predatory look 
356,"Again, I was super-busy and had lots of friends, so it was really easy to ignore the fact that I wasn't attracted to anyone.",ignore fact anyone 
357,The technician will lower a plastic plate directly on top of the breast to compress it in order to get a clear view of the tissue.,technician lower plate top breast compress order get view tissue 
358,Jammers can also even be used to create phantom aircraft to mislead enemy forces into believing other aircraft are in the air.,be create phantom aircraft mislead enemy aircraft air 
359,They advised her parents to make sure she showers regularly.,make 
360,Terrier's hammer can split rocks and even penetrate concrete.,hammer split penetrate concrete 
361,"To hear Jason Abraham, who won the lawsuit on Aug. 14, cloning is simply the latest in a long line of advances, from transfer of embryos to the use of frozen sperm to intracytoplasmic sperm injection -- all techniques that let breeders avoid genetic dead-ends and preserve valued traits.",hear lawsuit line transfer embryos use sperm intracytoplasmic injection avoid preserve 
362,The organization has launched a new public safety campaign to warn the public that not all doctors are qualified to perform plastic surgery.,organization safety campaign warn public perform plastic surgery 
363,"An easy way to get them year-round is by picking up a bottle of tart cherry juice, as research shows the benefits are the same as eating the whole fruit.",way get year-round bottle tart cherry juice research fruit 
364,We will bring you the best of the first reveals before they become available.,bring 
365,The researchers are also developing a mouth guard with a motion-recording accelerometer inside to monitor concussions.,mouth guard accelerometer monitor 
366,"Sound, heat, radio waves and even lasers could be used to trigger the chip to instantly shatter into thousands of shards.",heat radio be trigger chip shatter 
367,"The treatments ahead work to exfoliate away dead skin cells, suck up excess oil, stop inflammation, and kill the P. acnes bacteria.",exfoliate skin oil stop inflammation kill 
368,Later that day a radiologist will interpret the images.,day radiologist interpret 
369,Donations from the second annual event will benefit The Sarcoma Foundation of America.,event benefit 
370,They also work to help counteract common human errors like miscalculating range.,help counteract range 
371,Let me back up.,Let back 
372,"Hormones may also play a role in human behavior after sex, though.",play role behavior sex 
373,"Just check your package's label, as iodine content can vary widely between brands.",check package label content vary 
374,"To evade enemy detection, it could dive beneath the surface.",evade enemy detection dive surface 
375,"We're nachos getting married, it's going to be a Las Vegas tacover.",be tacover 
376,"It can be used to do tank route planning, progress monitoring, but it can also do critical calculations, like determine the best route to avoid enemy detection.",be do tank route planning progress monitoring do determine route avoid detection 
377,This flying radio could deliver secure communication with greater range and flexibility while lightening the load for troops by reducing the burden of radio carrying.,radio deliver communication range flexibility load burden radio carrying 
378,"You just lock the bolt back, push the recessed lever and twist the subassemblies pulling it apart.",lock bolt lever twist 
379,"Because for these drones to deploy in civilian space, they need to prove they can cooperate with, and within, the civilian airspace framework.",deploy space prove cooperate airspace framework 
380,"For the system to work, Harris needed to make its radio capabilities ultra-compact and lightweight while still delivering top performance.",system work make radio while performance 
381,"Maybe, if you like your chicks to have a kick.",have kick 
382,"The set also will include a cyclist, a man pushing his baby in a pram, a harassed businessman en route to work, and an ice cream seller.",set include cyclist man baby pram businessman route work ice cream seller 
383,"If you don't have healthy snacks on hand, you're more likely to head for the vending machine or mindlessly reach into the office candy jar.",have hand head vending machine reach office candy jar 
384,"And it's no coincidence, the researchers say, that this is also about the time we start to show signs of aging.",coincidence time show 
385,"Then, make sure to add in vegetable fats and fiber from complex carbs, both of which will improve levels of the gastric-delaying hormones, she says.",make add fiber carbs improve 
386,"Mega stealth, ultra state of the art and jam-packed with advanced next-gen tech and weaponrythis new fleet of submarines will bring decisive power to any fight.",stealth state art tech weaponrythis fleet bring power fight 
387,"Russia recently unveiled the Kazan, a new Yasen-class nuclear attack submarine that can destroy subs, surface ships and even entire bases.",attack submarine destroy surface 
388,"For a better grip there is different texturing, and to limit muzzle rise there's a better grip-to-bore-axis ratio.",grip texturing limit rise grip-to-bore-axis ratio 
389,"According to data from the Cleveland Clinic, that may be a fair assessment.",be assessment 
390,"Rather, she urges her followers not to compare themselves to women like her former self.",compare self 
391,"Not only does it pose dangers to the cartilage framework of the nose, but it also has the potential to hinder the lining of the organ and cause an ulcer.",pose cartilage framework hinder lining organ cause ulcer 
392,"People should wear sunglasses outdoors whether they are working, driving, participating in sports, taking a walk, running errands or doing anything in the sun.",wear walk anything sun 
393,"For example, a terrorist plot to target U.S. landmarks with WMDs was foiled in 2004.",example terrorist plot target 
394,"Marewa Glover, Ph.D., an associate professor of public health at Massey University, says vaping may help smokers who've recently quit cigarettes avoid weight gain, but more research is needed.",associate professor health vaping help quit weight gain research 
395,The development of a lunar base could be a catalyst for lowering our launch cost to space and accelerating the development of automation and robotics.,development base be catalyst launch cost space development automation 
396,"You can increase the flow, but then you are wasting even more gas in the breathing out part of the cycle.",increase flow gas part cycle 
397,A rep for Snoop Dogg did not return Fox News' request for comment.,rep return request comment 
398,It can destroy mortars while they are in mid-flight.,destroy 
399,"It is hoped it could also be used to improve handling, reliability as well as safety and mission performance overall.",be improve handling reliability safety mission performance overall 
400,The latest full-sized prototype is completing construction and will begin flight tests in a few months.,prototype construction begin flight 
401,The Environmental Working Group said that the current regulatory system allows companies to put potentially dangerous chemicals in personal-care products without having to prove they are safe.,system put prove 
402,"Designed to target drones and light aircraft, it could be useful in other scenarios, as well, such as small boat attacks that aim to deny access to the shore.",target light aircraft be boat deny access shore 
403,Being able to withstand heat longer could provide a number of advantages.,withstand heat provide number 
404,Mark Consuelos and Kelly Ripa want to set the record straight on what really happens between the sheets.,set record straight 
405,"In the mountaineer's model, you can even visually verify that oxygen is being delivered.",mountaineer model verify oxygen 
406,"For four days between Jan. 17 and Jan. 20, more than 65,000 industry professionals will walk miles and miles reviewing the staggering amount on offer.",industry walk amount offer 
407,The goal is to stop not just bullets but prevent vehicles loaded with bombs from gaining access.,goal stop access 
408,Stabby pens are a must-have with tactical professionals and should be a must-have for folks who want to survive threats.,be survive 
409,How to spot him: He's taking clear steps to move out and move on with his life.,spot move move life 
410,"Dr. Kerry Beebe, O.D., gives his patients two reasons  health and comfort  when explaining why they should wear sunglasses.",health comfort wear 
411,"Because frequent urinary incontinence can significantly worsen quality of life, addressing this problem might help motivate some obese patients who are good candidates for bariatric surgery to consider this option, said Dr. Holly Richter, a urogynecologist at the University of Alabama at Birmingham.",incontinence worsen quality life problem help motivate surgery consider option urogynecologist 
412,The next great challenge is a familiar one: The U.S. must lead the world in allowing humans to break the bonds that hold us to our Earth.,challenge one lead world break Earth 
413,Beebe said sunglasses protect the eyes from painful sunburns and may help slow down cataracts and macular degeneration.,help slow degeneration 
414,"Or, if an enemy attacks the power supply to a command center, the Hellhound can provide the power to keep it going.",enemy power supply command center provide power keep 
415,Its main function is to produce milk for a baby.,function produce milk baby 
416,"Once you become familiar with your breast, it should be easy to recognize any abnormality that occurs.",breast be recognize abnormality 
417,"When Burgdorf told him about Kybella, a non-invasive fat dissolving treatment that wouldn't require him to go into hiding for a few days, Kaiser was in.",treatment require go 
418,"This vehicle will stay stealthy by reducing signatures that would traditionally be used to detect it, and reveal those attempting to be stealthy, including spotting them with infrared, sound, sight, and electromagnetics.",vehicle stay be detect be sound sight 
419,"By monitoring and patrolling, the drone could help protect the world's fish stocks that have been rapidly depleting due to unregulated poaching of fisheries.",monitoring patrolling drone help protect world poaching 
420,"Tizen is a Linux-based open-source platform, which means anyone can develop apps for it.",platform anyone develop apps 
421,"In the future, a genetic test might help doctors know which patients would be unlikely to do well in a weight loss program, said Dr. Amir Zarrinpar, a gastroenterologist at the University of California, San Diego, and senior a author of the study.",future test help know be do loss program gastroenterologist author study 
422,"Neck lifts that remove glands below the jawline Shah also told Fox News that when men and women have face and neck lifts, two glands often stand out on the jawline.",remove jawline face neck jawline 
423,The bullets are designed to provide excellent penetration even at low angles.,provide penetration 
424,The project will be a collaboration between Australia and France- but the United States is also expected to play a vital role.,project be collaboration play role 
425,Hellhound aims to bring science fiction weapons directly into future battlefields.,bring science fiction 
426,"In the Himalayas, a miss could mean certain death.",miss mean death 
427,"Back by popular demand to the top picks list, the Battle Mug classic, made by Battle Mug, has Picatinny Rails so if need be, you can mount optics to get a good view of the action on that screen.",demand list need be mount get view action screen 
428,"After it has been launched, the same team on the ground can operate it.",team ground operate 
429,"Some studies suggest estrogen is a growth factor both for benign and malignant thyroid cells, further suggesting gender plays a role in the prevalence of thyroid nodules and thyroid cancer, though more research is needed to solidify this claim.",estrogen growth factor benign thyroid gender role prevalence cancer research solidify claim 
430,Check out more recipes from Grumble.,Check 
431,"As such, the Sleep Calculator could be just what you need to get a better night's sleep.",be get night sleep 
432,Here are some tips that may help keep you young.,help keep 
433,Submarines will continue to play a fundamental role in Russia's strategic objectives there.,continue play role 
434,Now start to blend your mixture with a hand blender.,blend mixture hand blender 
435,"Men usually do not get mammograms, but self-examination is important.",get self-examination 
436,"Before getting the Hippocampe chair, Chris would adapt jog strollers he'd buy off the shelf, replacing tires until the structures would break.",chair adapt jog buy shelf break 
437,"One step dentists can take to reduce the risk of spreading bacterial infections to a patient's organs is to thoroughly examine their patients' mouths for any ongoing bacterial infections before conducting dental procedures, Bytyci said.",step take reduce risk patient examine 
438,"Meyer, a mother of three, discovered that the picture she had posted of her son more than a year ago had been altered to compare him to a pug, and that it had been circulated on various social media sites.",mother picture son year compare pug 
439,Advanced armor like this can also become a deterrent to future attacks.,armor become deterrent 
440,You can also laser engrave it to make it clear who you're supporting this year.,laser engrave make year 
441,"To reach these speeds and range, the Shortfin Barracuda relies on modern propulsion.",reach range propulsion 
442,An optical compensation system with mirrors helps the beam penetrate the atmosphere and get on target.,compensation system beam penetrate atmosphere get target 
443,"Don't waitsee a doctor, fast.",waitsee doctor 
444,"By enhancing protection, it could help prevent attacks and casualties.",protection help prevent 
445,"The tech can give city, state, and federal officials early warning and critical data to tailor a rapid response.",tech give city state tailor response 
446,"Terrier can help defeat this threat and play a key role in keeping military, aid personnel, and civilians safe.",help defeat threat play role 
447,"But when the bad ones set up shop and multiply in the crevices around the papillae, or small bumps, on the surface of the tongue, they can inflict some real damage.",shop multiply papillae surface tongue inflict damage 
448,"Determined to ensure U.S. forces had the very best gear to support missions and reduce risk to jumpers, when he retired he committed to doing just that.",ensure gear support reduce risk 
449,"Stress can lead to weight gain and breakouts, Essel said, so take this time to prioritize self-care.",Stress lead gain take time prioritize self-care 
450,"They pinpointed plans with a behavioral and social support element, be it an online forum or a coach, as well as those that emphasized nutrition.",support element be forum coach nutrition 
451,But perhaps you should take your beauty cues from the camel.,take beauty camel 
452,The U.S. military continues to expand space responsibilities as NASA's budget shrinks.,expand space budget 
453,"The drone could also be deployed to protect offshore oil platforms and oil pipelines, for example.",drone be protect oil oil example 
454,It is important to preserve tech superiority that the U.S. military leverages against adversaries.,preserve superiority 
455,"After women reach orgasm, on the other hand, it takes longer for their blood flow to leave the genitals, so they do not return as quickly as men to a pre-aroused state, Kerner said.",hand blood flow leave return state 
456,The helicopters twin-rotor design helps to maximize lift in extreme environments.,design maximize lift 
457,"The biggest obstacle is the lack of a rocket, called a super heavy launch vehicle, to lift it off the planet.",obstacle lack rocket launch vehicle lift planet 
458,The group advises consumers avoid eyelash extensions and opt for mascara instead.,group opt mascara 
459,But the fundamental challenge is to create a powerful laser weapon that is yet light enough to carry on light tactical vehicles without affecting their speed and agility.,challenge create laser weapon carry speed agility 
460,They are easily configurable and allow operators to quickly prepare for missions and tackle the most extreme terrain with maximum flexibility.,prepare tackle terrain flexibility 
461,"During his service, he began to have some ideas about how the parachutes could be radically improved to enhance the performance of elite forces.",service have be enhance performance 
462,A watch with a compass is always a good idea when you are trying to get away from bad stuff and find your way home.,watch compass idea get stuff find way home 
463,It is designed to provide protection from pressure changes.,provide protection pressure 
464,Chris credits his daughter's sense of adventure to zipping around the state of Florida by car to attend different doctors' appointments.,daughter sense adventure state car attend 
465,It also complicated Apple's job repairing flaws that jeopardize its software.,job software 
466,"That's because while research suggests small amounts of booze can be good for us, drinking in excess can harm our heart, brain and waistline.",research booze be excess harm heart brain waistline 
467,Many times a mammogram can pick up a tumor before it is even felt.,mammogram pick tumor 
468,"Singer always knew her friend would be an inspiration for cancer patients who feared they wouldn't have children, but she never expected Liz's story to turn out this way.",friend be inspiration cancer have story turn way 
469,"Finding it then sticking with your sweetheart may benefit your health in more ways than one, research suggests.",sweetheart benefit health research 
470,Part of the blame may lie with trying to pack every feature possible into one airplane.,Part blame lie pack feature airplane 
471,"But because they didn't know what was in store for her health, they didn't know she would need to see so many specialists.",know store health know need see 
472,"An antifungal medication can cure it, and regular tongue brushing should keep it from returning.",medication cure tongue brushing keep 
473,"From there, it could theoretically launch a Kalibr missile that would be able to reach and strike New York City.",launch missile be reach strike 
474,"Should someone try to break into a casing that protects the tech, then a pressure sensor would trigger destruction.",someone try break casing tech pressure sensor trigger destruction 
475,Maybe just eat an avocado or two and be done with it.,eat avocado be 
476,Riot police became involved when around a dozen fans invaded the pitch and attempted to attack the Albanian players.,dozen pitch attack 
477,They can also use the simulators to develop tactics with the new aircraft such as for dogfighting or air combat maneuvering.,use develop aircraft air combat maneuvering 
478,A close look at the show's application seems to corroborate Ridley's claim.,look show application corroborate claim 
479,An elite team has traveled deep into the Everest region of the Himalayas to smash skydiving world records by jumping out of a helicopter.,team region smash world helicopter 
480,We did have sex when we decided to conceive our baby.,have sex conceive baby 
481,Security experts are concerned that a drone could carry threats like biological or chemical weapons.,Security drone carry 
482,He also stated that she stands to make a lot of money in the adult entertainment world.,make lot money adult entertainment world 
483,"Besides law enforcement, the capture drone is expected to find uses in anti-spying, anti-terrorism, and anti-smuggling operations.",law enforcement capture drone find anti-terrorism 
484,"Fox News talked to Dr. Paul DePompo, psychologist and director of the Cognitive Behavioral Therapy Institute of Southern California, about the four types of men who may be inclined to cheat so you can make better decisions while you're out on the dating playing field.",psychologist director be cheat make playing field 
485,"However, overweight people who adopted just one of the other healthy lifestyle factors, such as exercising three times a week, could still reduce their risk of diabetes.",week reduce risk 
486,"That mosquito could fly away and then bite someone in your family, your pregnant friend, a neighborhood child so you could accidentally infect others.",mosquito fly bite someone family friend neighborhood child infect 
487,Fox News talked to three plastic surgeons to get their opinions on the types of surgeries they'd advise patients to pass on.,plastic get advise pass 
488,"It can also conduct missions gathering intelligence, surveillance and reconnaissance.",conduct intelligence surveillance reconnaissance 
489,"And for combat engineering tasks, the Terrier's earth auger can drill holes.",combat engineering earth auger drill 
490,She told Fox News it could take six months or more for hair to grow back.,take hair grow 
491,"But as a tumor grows in the breast, you might feel some lumps or very hardened areas of the breast or of the tissue underneath your arm, your breast might change in size as compared to the other, you might have some discharge from the nipple, the nipple might invert internally, or there might be some discoloration of the skin of the breast.",tumor breast feel breast tissue arm breast change size have discharge nipple nipple invert be discoloration skin breast 
492,"All the models also provide exceptional, enhanced glide performance.",glide performance 
493,Set up an invisible shield to help you enjoy the final days of summer.,shield help enjoy summer 
494,Solo operators who need to carry heavy rucks or a canine can also use this model.,Solo carry canine use model 
495,She urged others who see the photo to report it or take a screenshot and send it to her to report.,photo report take screenshot send report 
496,"If your phone is stolen, then you trigger the tech.",phone tech 
497,"The Growler can unleash its Interference Cancellation System to defeat the jamming systems and ensure uninterrupted radio communications for ground, maritime, and air forces.",unleash defeat jamming ensure radio ground maritime air 
498,You have to learn how to chew more slowlya smart habit for anyone.,learn chew habit anyone 
499,"Ahead of ground, maritime, and other aircraft teams, Growler can enter the fight first, unleashing a devastating electronic attack.",Ahead ground maritime aircraft enter fight attack 
500,Most bills introduced don't make it into law.,make law 
501,"In the lab, the researchers made mock human eyes out of small petri dishes fitted with fake eyelashes of different lengths and a bit of water, meant to mimic the thin tear film on the surface of the eye.",lab mock petri bit water meant mimic tear film surface eye 
502,"Together, they can fight fires all by themselves.",fight 
503,"Doing crossword puzzles, reading and catching up with friends will work your brain muscles.",crossword reading work brain 
504,"The balloon comes out after six months, and patients are encouraged to keep meeting with their program dietitian to reinforce the healthy behaviors they learned.",balloon keep meeting program dietitian reinforce 
505,"Later, she dropped an f-bomb and used another vulgarity to give some advice to President Trump.",vulgarity give advice 
506,But that weight loss was studied only over a period of six months; no research has analyzed whether Nutrisystem helps patients sustain their weight beyond that time frame.,loss period research sustain weight time frame 
507,"Diabetics considering weight-loss surgery to help send their disease into remission should opt for the most popular procedure, a gastric bypass, researchers suggest.",surgery help send disease remission opt procedure bypass 
508,"The products repel mosquitoes that transmit the Zika virus, as well as other threats like West Nile virus, according to the manufacturer.",virus virus manufacturer 
509,"Theoretically, this could help defeat detection by thermals in a remote approach on a target, but in an urban setting it could have the opposite effect by flagging the vehicle as running at an irregular temperature.",help defeat detection approach target setting have effect vehicle temperature 
